f_raw,rank_abs,f_permil,f_logpermil+3.56594158831,f_logpermil+10,band,token...
30026,6178,8.15747763841,4.47749748026,10.911555892,14,latín
28404,6386,7.71681192438,4.45337950398,10.8874379157,14,diamante
28401,6387,7.71599688298,4.45333363184,10.8873920435,14,migrante
27546,6506,7.48371008551,4.44005854315,10.8741169548,14,ironía
27377,6528,7.43779608695,4.43738585597,10.8714442677,14,señorito
26636,6645,7.23648086247,4.42546900622,10.8595274179,14,wikipedia
25065,6890,6.80967085215,4.39906770895,10.8331261206,14,asfalto
24812,6930,6.74093569454,4.39466177249,10.8287201842,14,vaquero
24527,6985,6.66350676205,4.38964443108,10.8237028428,14,esclavitud
23629,7146,6.41953770459,4.3734453423,10.807503754,14,vampiro
22326,7393,6.06553805885,4.34881092041,10.7828693321,14,blogs
22305,7399,6.05983276909,4.34840222758,10.7824606393,14,viral
21569,7547,5.85987594694,4.33383001045,10.7678884221,15,cosmético
20319,7796,5.52027536584,4.30790233033,10.741960742,15,objetividad
19812,7902,5.38253337015,4.29692831931,10.730986731,15,alfabetización
19793,7907,5.37737144132,4.29651162466,10.7305700364,15,arruga
19476,7985,5.29124873395,4.28949976587,10.7235581776,15,banquero
18792,8143,5.10541929598,4.27397300377,10.7080314155,15,psiquiatra
18569,8193,5.04483455231,4.26878851622,10.7028469279,15,jersey
17635,8440,4.79108499811,4.246375464,10.6804338757,15,pálido
17607,8451,4.7834779451,4.24568536423,10.6797437759,15,comunismo
17330,8533,4.70822245632,4.23879856271,10.6728569744,15,inmobiliaria
17090,8597,4.64301914475,4.23274206272,10.6668004744,15,retórica
16986,8623,4.61476437641,4.23009111975,10.6641495314,15,cupón
16840,8661,4.57509902853,4.22634208716,10.6604004989,15,ternero
16203,8844,4.40203857241,4.209595432,10.6436538437,15,cóctel
15248,9163,4.14258372845,4.18321288329,10.617271295,15,precariedad
14950,9261,4.06162294992,4.17464119266,10.6086996044,15,tabaquismo
14758,9326,4.00946030066,4.16902750601,10.6030859177,15,fascismo
14655,9355,3.98147721278,4.16598582277,10.6000442345,15,nazareno
13526,9748,3.67474996793,4.13116938309,10.5652277948,15,rebeldía
12820,10040,3.48294355973,4.10788802518,10.5419464369,15,byte
12806,10048,3.47914003322,4.10741349749,10.5414719092,15,apps
12555,10143,3.41094823654,4.09881671705,10.5328751287,15,superhéroe
12555,10143,3.41094823654,4.09881671705,10.5328751287,15,germano
12104,10303,3.28842034688,4.08292891502,10.5169873267,15,dorado
12098,10306,3.28679026409,4.08271358017,10.5167719919,15,suscriptor
12096,10308,3.28624690316,4.08264177816,10.5167001899,15,esmalte
12068,10322,3.27863985014,4.0816353015,10.5156937132,15,feminismo
12053,10329,3.27456464317,4.08109515656,10.5151535683,15,neoliberalismo
11555,10542,3.13926777166,4.06276994982,10.4968283615,15,trata
11533,10550,3.13329080143,4.06194229203,10.4960007037,15,timo
11515,10557,3.12840055306,4.0612639423,10.495322354,15,vecindario
11469,10577,3.11590325168,4.05952555274,10.4935839644,15,rap
11438,10591,3.10748115727,4.05835009221,10.4924085039,15,escote
11304,10657,3.07107597497,4.05323214884,10.4872905605,15,zombies
10166,11231,2.76190360594,4.00715010537,10.4412085171,16,escriba
9620,11564,2.61356607212,3.98317507204,10.4172334837,16,sable
8924,11961,2.42447646857,3.95055956161,10.3846179733,16,cuarzo
8688,12101,2.36035987885,3.93891981224,10.3729782239,16,berenjena
8381,12294,2.27695397614,3.92329584066,10.3573542523,16,homogeneidad
8356,12313,2.27016196452,3.92199843131,10.356056843,16,proletariado
8148,12445,2.21365242782,3.91105102033,10.345109432,16,gringo
8122,12464,2.20658873573,3.90966298515,10.3437213968,16,pijama
7843,12657,2.13078988603,3.89448221501,10.3285406267,16,aristocracia
7616,12816,2.06911842051,3.88172693538,10.3157853471,16,modernismo
7520,12888,2.04303709588,3.87621784059,10.3102762523,16,discográfica
7122,13171,1.93490827086,3.85260196934,10.286660381,16,sega
6993,13268,1.89986149089,3.84466352824,10.2787219399,16,proletario
6953,13304,1.88899427229,3.84217222939,10.2762306411,16,alquimia
6461,13679,1.75532748357,3.81029974104,10.2443581527,16,jornalero
6195,13895,1.68306047992,3.79204131071,10.2260997224,16,turquesa
5854,14171,1.59041744139,3.7674527181,10.2015111298,16,estilista
5592,14391,1.51923715959,3.74756716274,10.1816255744,16,laca
5588,14394,1.51815043773,3.74725639744,10.1813148091,16,totalitarismo
5460,14503,1.48337533823,3.7371926427,10.1712510544,17,inquisidor
5445,14515,1.47930013126,3.73599788409,10.1700562958,17,bulimia
5253,14680,1.427137482,3.7204074008,10.1544658125,17,colonialismo
4818,15061,1.30895647978,3.68286679566,10.1169252074,17,celebrities
4817,15062,1.30868479931,3.68277664631,10.116835058,17,bronceado
3849,15966,1.04569810931,3.58534791109,10.0194063228,17,consumición
3452,16354,0.937840964757,3.53807078704,9.97212919874,17,nude
3115,16688,0.846284648093,3.493458051,9.92751646269,17,666
2884,16916,0.783526460706,3.45999525605,9.89405366774,17,morado
2602,17197,0.706912569611,3.41530729223,9.84936570392,18,gabardina
2559,17240,0.695230309621,3.40807028589,9.84212869758,18,ecologismo
2518,17281,0.684091410561,3.40105572577,9.83511413747,18,botox
2486,17313,0.675397635685,3.39550112431,9.829559536,18,chándal
2350,17448,0.638449092462,3.37106786227,9.80512627397,18,feudalismo
2267,17531,0.615899613877,3.35545152013,9.78950993182,18,check-in
2264,17534,0.615084572482,3.35487642252,9.78893483421,18,soma
1836,17962,0.498805333515,3.26387267687,9.69793108856,18,urbanidad
1676,18122,0.455336459134,3.22427401429,9.65833242599,18,sofá-cama
1653,18145,0.449087808442,3.21827285357,9.65233126527,18,parka
1446,18352,0.392849952213,3.16016829296,9.59422670465,18,geeks
1423,18375,0.38660130152,3.15320490008,9.58726331178,18,preadolescente
1281,18517,0.348022675508,3.10754912974,9.54160754144,19,fanboy
1175,18623,0.319224546231,3.07003786661,9.5040962783,19,engagement
1152,18646,0.312975895539,3.06145247909,9.49551089078,19,lancer
972,18826,0.264073411861,2.98766626493,9.42172467662,19,maldini
724,19074,0.196696656571,2.8597385662,9.29379697789,19,esclavismo
622,19176,0.168985249154,2.79379038469,9.22784879638,20,ormeño
594,19204,0.161378196137,2.77378644498,9.20784485667,20,abracadabra
359,19439,0.097533286891,2.55509444858,8.98915286027,20,2099
329,19469,0.0893828729446,2.51719589795,8.95125430964,21,antialiasing
232,19566,0.0630298678515,2.36548798489,8.79954639658,21,treintas
222,19576,0.0603130632028,2.34635297445,8.78041138614,21,cuarentas
206,19592,0.0559661757647,2.31386722037,8.74792563206,21,brushing
92,19706,0.0249946027687,1.96378782735,8.39784623904,22,clériga
47,19751,0.0127689818492,1.67209785794,8.10615626963,23,banksters
33,19765,0.00896545534095,1.51851393988,7.95257235157,24,aerópago
32,19766,0.00869377487608,1.50514997832,7.93920839001,24,condonacion_jeje
20,19778,0.00543360929755,1.30102999566,7.73508840736,25,peatonalidad
15,19783,0.00407520697316,1.17609125906,7.61014967075,25,nobodies
10,19788,0.00271680464877,1,7.43405841169,26,alucinancia
2,19796,5.43360929755e-4,0.301029995664,6.73508840736,28,somebodies
2,19796,5.43360929755e-4,0.301029995664,6.73508840736,28,muñecofilia
2,19796,5.43360929755e-4,0.301029995664,6.73508840736,28,foddie
2,19796,5.43360929755e-4,0.301029995664,6.73508840736,28,casi-negro
1,19797,2.71680464877e-4,0,6.43405841169,29,zoofolia
1,19797,2.71680464877e-4,0,6.43405841169,29,perchero-lámpara
